,Unnamed: 0,videoname,axis,n_frame,n_landmark,coordinate,classes
0,1500,aprender_18,x,0,0,0.5143834352493286,aprender
1,1501,aprender_18,x,0,1,0.5483506917953491,aprender
2,1502,aprender_18,x,0,2,0.5663266777992249,aprender
3,1503,aprender_18,x,0,3,0.5822060108184814,aprender
4,1504,aprender_18,x,0,4,0.4921994209289551,aprender
5,1505,aprender_18,x,0,5,0.4731824696063995,aprender
6,1506,aprender_18,x,0,6,0.4580703377723694,aprender
7,1507,aprender_18,x,0,7,0.6058174967765808,aprender
8,1508,aprender_18,x,0,8,0.4322146773338318,aprender
9,1509,aprender_18,x,0,9,0.5485464334487915,aprender
10,1510,aprender_18,x,0,10,0.4715127348899841,aprender
11,1511,aprender_18,x,0,11,0.7236756682395935,aprender
12,1512,aprender_18,x,0,12,0.282261312007904,aprender
13,1513,aprender_18,x,0,13,0.8165302872657776,aprender
14,1514,aprender_18,x,0,14,0.1904551237821579,aprender
15,1515,aprender_18,x,0,15,0.7053259015083313,aprender
16,1516,aprender_18,x,0,16,0.3310921490192413,aprender
17,1517,aprender_18,x,0,17,0.673646867275238,aprender
18,1518,aprender_18,x,0,18,0.3487057089805603,aprender
19,1519,aprender_18,x,0,19,0.676019012928009,aprender
20,1520,aprender_18,x,0,20,0.3570870757102966,aprender
21,1521,aprender_18,x,0,21,0.6747729182243347,aprender
22,1522,aprender_18,x,0,22,0.3573327958583832,aprender
33,1533,aprender_18,x,0,33,1.0,aprender
34,1534,aprender_18,x,0,34,1.0,aprender
35,1535,aprender_18,x,0,35,1.0,aprender
36,1536,aprender_18,x,0,36,1.0,aprender
37,1537,aprender_18,x,0,37,1.0,aprender
38,1538,aprender_18,x,0,38,1.0,aprender
39,1539,aprender_18,x,0,39,1.0,aprender
40,1540,aprender_18,x,0,40,1.0,aprender
41,1541,aprender_18,x,0,41,1.0,aprender
42,1542,aprender_18,x,0,42,1.0,aprender
43,1543,aprender_18,x,0,43,1.0,aprender
44,1544,aprender_18,x,0,44,1.0,aprender
45,1545,aprender_18,x,0,45,1.0,aprender
46,1546,aprender_18,x,0,46,1.0,aprender
47,1547,aprender_18,x,0,47,1.0,aprender
48,1548,aprender_18,x,0,48,1.0,aprender
49,1549,aprender_18,x,0,49,1.0,aprender
50,1550,aprender_18,x,0,50,1.0,aprender
51,1551,aprender_18,x,0,51,1.0,aprender
52,1552,aprender_18,x,0,52,1.0,aprender
53,1553,aprender_18,x,0,53,1.0,aprender
54,1554,aprender_18,x,0,54,0.3811489343643188,aprender
55,1555,aprender_18,x,0,55,0.3419252932071686,aprender
56,1556,aprender_18,x,0,56,0.312144011259079,aprender
57,1557,aprender_18,x,0,57,0.2897225320339203,aprender
58,1558,aprender_18,x,0,58,0.263721227645874,aprender
59,1559,aprender_18,x,0,59,0.3723313212394714,aprender
60,1560,aprender_18,x,0,60,0.3904518187046051,aprender
61,1561,aprender_18,x,0,61,0.4060572683811188,aprender
62,1562,aprender_18,x,0,62,0.4208325743675232,aprender
63,1563,aprender_18,x,0,63,0.4042865633964538,aprender
64,1564,aprender_18,x,0,64,0.4264245629310608,aprender
65,1565,aprender_18,x,0,65,0.4438977837562561,aprender
66,1566,aprender_18,x,0,66,0.4605590105056762,aprender
67,1567,aprender_18,x,0,67,0.4263454377651214,aprender
68,1568,aprender_18,x,0,68,0.4481017589569092,aprender
69,1569,aprender_18,x,0,69,0.4644347131252289,aprender
70,1570,aprender_18,x,0,70,0.4803288877010345,aprender
71,1571,aprender_18,x,0,71,0.4398356676101684,aprender
72,1572,aprender_18,x,0,72,0.4585205912590027,aprender
73,1573,aprender_18,x,0,73,0.4721458852291107,aprender
74,1574,aprender_18,x,0,74,0.4855597913265228,aprender
75,1575,aprender_18,x,2,0,0.5014835596084595,aprender
76,1576,aprender_18,x,2,1,0.5346928238868713,aprender
77,1577,aprender_18,x,2,2,0.5532198548316956,aprender
78,1578,aprender_18,x,2,3,0.5652903318405151,aprender
79,1579,aprender_18,x,2,4,0.4788970649242401,aprender
80,1580,aprender_18,x,2,5,0.4616155922412872,aprender
81,1581,aprender_18,x,2,6,0.4439531862735748,aprender
82,1582,aprender_18,x,2,7,0.5946526527404785,aprender
83,1583,aprender_18,x,2,8,0.4197642505168915,aprender
84,1584,aprender_18,x,2,9,0.5375283360481262,aprender
85,1585,aprender_18,x,2,10,0.460894763469696,aprender
86,1586,aprender_18,x,2,11,0.7163227200508118,aprender
87,1587,aprender_18,x,2,12,0.2778947651386261,aprender
88,1588,aprender_18,x,2,13,0.8136317133903503,aprender
89,1589,aprender_18,x,2,14,0.2137317955493927,aprender
90,1590,aprender_18,x,2,15,0.7018663287162781,aprender
91,1591,aprender_18,x,2,16,0.3437738120555877,aprender
92,1592,aprender_18,x,2,17,0.6684398055076599,aprender
93,1593,aprender_18,x,2,18,0.3817482590675354,aprender
94,1594,aprender_18,x,2,19,0.6295485496520996,aprender
95,1595,aprender_18,x,2,20,0.3903212547302246,aprender
96,1596,aprender_18,x,2,21,0.6286967992782593,aprender
97,1597,aprender_18,x,2,22,0.3837396502494812,aprender
108,1608,aprender_18,x,2,33,0.6943619251251221,aprender
109,1609,aprender_18,x,2,34,0.6505054831504822,aprender
110,1610,aprender_18,x,2,35,0.6087661385536194,aprender
111,1611,aprender_18,x,2,36,0.5868474245071411,aprender
112,1612,aprender_18,x,2,37,0.5739972591400146,aprender
113,1613,aprender_18,x,2,38,0.5980510115623474,aprender
114,1614,aprender_18,x,2,39,0.5709052681922913,aprender
115,1615,aprender_18,x,2,40,0.5608540177345276,aprender
116,1616,aprender_18,x,2,41,0.5567460656166077,aprender
117,1617,aprender_18,x,2,42,0.6171342134475708,aprender
118,1618,aprender_18,x,2,43,0.6009700894355774,aprender
119,1619,aprender_18,x,2,44,0.5958304405212402,aprender
120,1620,aprender_18,x,2,45,0.5949962139129639,aprender
121,1621,aprender_18,x,2,46,0.6413378715515137,aprender
122,1622,aprender_18,x,2,47,0.6275758147239685,aprender
123,1623,aprender_18,x,2,48,0.6231368780136108,aprender
124,1624,aprender_18,x,2,49,0.621043860912323,aprender
125,1625,aprender_18,x,2,50,0.6675989627838135,aprender
126,1626,aprender_18,x,2,51,0.6591362953186035,aprender
127,1627,aprender_18,x,2,52,0.6556171178817749,aprender
128,1628,aprender_18,x,2,53,0.6537635922431946,aprender
129,1629,aprender_18,x,2,54,0.3316721320152282,aprender
130,1630,aprender_18,x,2,55,0.3331570625305176,aprender
131,1631,aprender_18,x,2,56,0.3509585857391357,aprender
132,1632,aprender_18,x,2,57,0.3759023547172546,aprender
133,1633,aprender_18,x,2,58,0.3974096477031708,aprender
134,1634,aprender_18,x,2,59,0.348037451505661,aprender
135,1635,aprender_18,x,2,60,0.3781137466430664,aprender
136,1636,aprender_18,x,2,61,0.4002040922641754,aprender
137,1637,aprender_18,x,2,62,0.416575163602829,aprender
138,1638,aprender_18,x,2,63,0.3599861562252044,aprender
139,1639,aprender_18,x,2,64,0.4107167720794678,aprender
140,1640,aprender_18,x,2,65,0.4373661875724792,aprender
141,1641,aprender_18,x,2,66,0.4564384222030639,aprender
142,1642,aprender_18,x,2,67,0.3755985498428345,aprender
143,1643,aprender_18,x,2,68,0.4280699491500854,aprender
144,1644,aprender_18,x,2,69,0.4563706219196319,aprender
145,1645,aprender_18,x,2,70,0.4762755930423736,aprender
146,1646,aprender_18,x,2,71,0.3929735720157623,aprender
147,1647,aprender_18,x,2,72,0.4418469071388244,aprender
148,1648,aprender_18,x,2,73,0.4709464609622955,aprender
149,1649,aprender_18,x,2,74,0.4954920411109924,aprender
150,1650,aprender_18,x,4,0,0.4980224668979645,aprender
151,1651,aprender_18,x,4,1,0.5317784547805786,aprender
152,1652,aprender_18,x,4,2,0.550365149974823,aprender
153,1653,aprender_18,x,4,3,0.5619857311248779,aprender
154,1654,aprender_18,x,4,4,0.4734134972095489,aprender
155,1655,aprender_18,x,4,5,0.4555794894695282,aprender
156,1656,aprender_18,x,4,6,0.4366828799247741,aprender
157,1657,aprender_18,x,4,7,0.5922724008560181,aprender
158,1658,aprender_18,x,4,8,0.4116477072238922,aprender
159,1659,aprender_18,x,4,9,0.5354867577552795,aprender
160,1660,aprender_18,x,4,10,0.4576334655284881,aprender
161,1661,aprender_18,x,4,11,0.7104662656784058,aprender
162,1662,aprender_18,x,4,12,0.2726320624351501,aprender
163,1663,aprender_18,x,4,13,0.8160246014595032,aprender
164,1664,aprender_18,x,4,14,0.1932617723941803,aprender
165,1665,aprender_18,x,4,15,0.6834344863891602,aprender
166,1666,aprender_18,x,4,16,0.3645926713943481,aprender
167,1667,aprender_18,x,4,17,0.6499950289726257,aprender
168,1668,aprender_18,x,4,18,0.4177242219448089,aprender
169,1669,aprender_18,x,4,19,0.6040300726890564,aprender
170,1670,aprender_18,x,4,20,0.4357008934020996,aprender
171,1671,aprender_18,x,4,21,0.6039053201675415,aprender
172,1672,aprender_18,x,4,22,0.4255193769931793,aprender
183,1683,aprender_18,x,4,33,0.6724225282669067,aprender
184,1684,aprender_18,x,4,34,0.6268721222877502,aprender
185,1685,aprender_18,x,4,35,0.5866217613220215,aprender
186,1686,aprender_18,x,4,36,0.5625287890434265,aprender
187,1687,aprender_18,x,4,37,0.5471154451370239,aprender
188,1688,aprender_18,x,4,38,0.5732325911521912,aprender
189,1689,aprender_18,x,4,39,0.5441246628761292,aprender
190,1690,aprender_18,x,4,40,0.5272224545478821,aprender
191,1691,aprender_18,x,4,41,0.5154923796653748,aprender
192,1692,aprender_18,x,4,42,0.5901581048965454,aprender
193,1693,aprender_18,x,4,43,0.5657634735107422,aprender
194,1694,aprender_18,x,4,44,0.5532629489898682,aprender
195,1695,aprender_18,x,4,45,0.5456499457359314,aprender
196,1696,aprender_18,x,4,46,0.6131139397621155,aprender
197,1697,aprender_18,x,4,47,0.5925280451774597,aprender
198,1698,aprender_18,x,4,48,0.5825531482696533,aprender
199,1699,aprender_18,x,4,49,0.576305091381073,aprender
