videoname,axis,n_frame,n_landmark,coordinate
comer_144,x,0,0,0.48097237944602966
comer_144,x,0,1,0.5121861696243286
comer_144,x,0,2,0.531619131565094
comer_144,x,0,3,0.5493517518043518
comer_144,x,0,4,0.4550291895866394
comer_144,x,0,5,0.4388256072998047
comer_144,x,0,6,0.4251333773136139
comer_144,x,0,7,0.5793828964233398
comer_144,x,0,8,0.40652450919151306
comer_144,x,0,9,0.5265476107597351
comer_144,x,0,10,0.454395592212677
comer_144,x,0,11,0.7363430857658386
comer_144,x,0,12,0.31879451870918274
comer_144,x,0,13,0.8328368663787842
comer_144,x,0,14,0.15942412614822388
comer_144,x,0,15,0.6330743432044983
comer_144,x,0,16,0.30771833658218384
comer_144,x,0,17,0.5609510540962219
comer_144,x,0,18,0.3400755822658539
comer_144,x,0,19,0.5339637398719788
comer_144,x,0,20,0.36923500895500183
comer_144,x,0,21,0.5497070550918579
comer_144,x,0,22,0.3728261888027191
comer_144,x,2,0,0.4798891842365265
comer_144,x,2,1,0.5120195150375366
comer_144,x,2,2,0.5314465761184692
comer_144,x,2,3,0.5494590401649475
comer_144,x,2,4,0.4548855125904083
comer_144,x,2,5,0.43878403306007385
comer_144,x,2,6,0.4256196916103363
comer_144,x,2,7,0.579736053943634
comer_144,x,2,8,0.4148736000061035
comer_144,x,2,9,0.5255933403968811
comer_144,x,2,10,0.45364999771118164
comer_144,x,2,11,0.7433865666389465
comer_144,x,2,12,0.3169384002685547
comer_144,x,2,13,0.8494398593902588
comer_144,x,2,14,0.15659908950328827
comer_144,x,2,15,0.6546818017959595
comer_144,x,2,16,0.2641012668609619
comer_144,x,2,17,0.5817805528640747
comer_144,x,2,18,0.29186633229255676
comer_144,x,2,19,0.5479243397712708
comer_144,x,2,20,0.3338731825351715
comer_144,x,2,21,0.5642806887626648
comer_144,x,2,22,0.34183040261268616
comer_144,x,4,0,0.4797380864620209
comer_144,x,4,1,0.5121948719024658
comer_144,x,4,2,0.531611442565918
comer_144,x,4,3,0.5500108003616333
comer_144,x,4,4,0.45526543259620667
comer_144,x,4,5,0.439218670129776
comer_144,x,4,6,0.4271423816680908
comer_144,x,4,7,0.581391453742981
comer_144,x,4,8,0.4189930260181427
comer_144,x,4,9,0.5257631540298462
comer_144,x,4,10,0.4538782238960266
comer_144,x,4,11,0.7457154989242554
comer_144,x,4,12,0.31171074509620667
comer_144,x,4,13,0.8536893129348755
comer_144,x,4,14,0.1531161367893219
comer_144,x,4,15,0.656561553478241
comer_144,x,4,16,0.26886361837387085
